Data Provider,Satellite,Facility,Sensor
Boresight AzEl,,,3
Boresight Grazing LLA,,,8
Boresight Grazing LLR,,,4
Boresight Intersection,,,8
Boresight Intersection Lighting,,,36
Boresight Intersection Times,,,9
Boresight Vector,,,4
Disk Obstruction Times,,,48
EOIR Sensor Optics,,,7
EOIR Sensor Performance,,,22
EOIR Sensor To Target Metrics,,,18
EOIR System Image Quality,,,6
Footprint Area,,,6
Footprint Area At Distance,,,8
Number Of Stars In FOV,,,2
Obscuration,,,5
Pattern Angle Extremals Intersection,,,15
Pattern Intersection,,,13
Pattern Intersection At Distance,,,13
Pattern Intersection Corners,,,15
Pattern Intersection Extremals,,,13
Refraction Settings,,,1
Specular Point Times,,,14
Target Schedule,,,4
